 SOUID,    DATE,   RR, Q_RR
107650,19870909,   15,    0
107650,19870910,    0,    0
107650,19870911,    5,    0
107650,19870912,   65,    0
107650,19870913,    0,    0
107650,19870914,    0,    0
107650,19870915,    0,    0
107650,19870916,    1,    0
107650,19870917,   19,    0
107650,19870918,    6,    0
107650,19870919,   52,    0
107650,19870920,    0,    0
107650,19870921,    1,    0
107650,19870922,    0,    0
107650,19870923,   66,    0
107650,19870924,   20,    0
107650,19870925,    0,    0
107650,19870926,    0,    0
107650,19870927,    0,    0
107650,19870928,    0,    0
107650,19870929,    0,    0
107650,19870930,    0,    0
107650,19871001,    0,    0
107650,19871002,    2,    0
107650,19871003,  103,    0
107650,19871004,    0,    0
107650,19871005,    2,    0
107650,19871006,   53,    0
107650,19871007,  138,    0
107650,19871008,    3,    0
107650,19871009,  531,    0
107650,19871010,  125,    0
107650,19871011,    0,    0
107650,19871012,   18,    0
107650,19871013,   10,    0
107650,19871014,  104,    0
107650,19871015,  173,    0
107650,19871016,   63,    0
107650,19871017,    1,    0
107650,19871018,   14,    0
107650,19871019,   12,    0
107650,19871020,  355,    0
107650,19871021,    4,    0
107650,19871022,    0,    0
107650,19871023,    0,    0
107650,19871024,    0,    0
107650,19871025,    0,    0
107650,19871026,   24,    0
107650,19871027,    2,    0
107650,19871028,    0,    0
107650,19871029,    0,    0
107650,19871030,    2,    0
107650,19871031,    9,    0
107650,19871101,    0,    0
107650,19871102,    0,    0
107650,19871103,    0,    0
107650,19871104,    0,    0
107650,19871105,    0,    0
107650,19871106,    0,    0
107650,19871107,    0,    0
107650,19871108,   88,    0
107650,19871109,    2,    0
107650,19871110,   19,    0
107650,19871111,  152,    0
107650,19871112,    0,    0
107650,19871113,    5,    0
107650,19871114,   22,    0
107650,19871115,    4,    0
107650,19871116,    0,    0
107650,19871117,    0,    0
107650,19871118,   15,    0
107650,19871119,   90,    0
107650,19871120,    0,    0
107650,19871121,    5,    0
107650,19871122,   29,    0
107650,19871123,    2,    0
107650,19871124,    0,    0
107650,19871125,    0,    0
107650,19871126,    0,    0
107650,19871127,    0,    0
107650,19871128,    0,    0
107650,19871129,    0,    0
107650,19871130,    0,    0
107650,19871201,    4,    0
107650,19871202,    0,    0
107650,19871203,    0,    0
107650,19871204,    0,    0
107650,19871205,    0,    0
107650,19871206,    0,    0
107650,19871207,    0,    0
107650,19871208,    2,    0
107650,19871209,    0,    0
107650,19871210,    0,    0
107650,19871211,    0,    0
107650,19871212,    0,    0
107650,19871213,    0,    0
107650,19871214,    0,    0
107650,19871215,   74,    0
107650,19871216,    9,    0
107650,19871217,    4,    0
107650,19871218,    0,    0
107650,19871219,    0,    0
107650,19871220,    0,    0
107650,19871221,    0,    0
107650,19871222,    0,    0
107650,19871223,    0,    0
107650,19871224,    1,    0
107650,19871225,    0,    0
107650,19871226,    0,    0
107650,19871227,    0,    0
107650,19871228,    0,    0
107650,19871229,   12,    0
107650,19871230,   38,    0
107650,19871231,    0,    0
107650,19880101,   12,    0
107650,19880102,   33,    0
107650,19880103,   30,    0
107650,19880104,   86,    0
107650,19880105,   20,    0
107650,19880106,    2,    0
107650,19880107,    0,    0
107650,19880108,    6,    0
107650,19880109,    6,    0
107650,19880110,    0,    0
107650,19880111,    0,    0
107650,19880112,   24,    0
107650,19880113,   30,    0
107650,19880114,   28,    0
107650,19880115,    0,    0
107650,19880116,    0,    0
107650,19880117,    0,    0
107650,19880118,    0,    0
107650,19880119,    5,    0
107650,19880120,   16,    0
107650,19880121,  124,    0
107650,19880122,    2,    0
107650,19880123,   56,    0
107650,19880124,  111,    0
107650,19880125,   13,    0
107650,19880126,    0,    0
107650,19880127,  100,    0
107650,19880128,  104,    0
107650,19880129,  149,    0
107650,19880130,    0,    0
107650,19880131,  112,    0
107650,19880201,   17,    0
107650,19880202,   35,    0
107650,19880203,   41,    0
107650,19880204,    4,    0
107650,19880205,    0,    0
107650,19880206,    0,    0
107650,19880207,   36,    0
107650,19880208,   31,    0
107650,19880209,   23,    0
107650,19880210,   17,    0
107650,19880211,    0,    0
107650,19880212,    0,    0
107650,19880213,   16,    0
107650,19880214,    0,    0
107650,19880215,    0,    0
107650,19880216,    0,    0
